,"index of flare start in ""gj1243_master_slc.dat""","index of flare stop in ""gj1243_master_slc.dat""",t_start,t_stop,t_peak,t_rise,t_decay,flux peak,ED,Duration of rise,Duration of decay,Complex flag,# of people that identified flare event exists,# of people that analyzed this month,# of flare template components fit to event,Flare_Duration,Index,Flare_Number,Type,Notes,na,key
118,76476.0,76497.0,593.7319946,593.7470093,593.7340698,0.0020752,0.0129395,0.0042421,1.8227922,0.3824506,1.4403415,1.0,7.0,7.0,1.0,21.62116799991054,222,222.0,1.0,,,
119,76917.0,76956.0,594.0357666,594.0623779,594.0391846,0.003418,0.0231934,0.0748394,12.4212971,2.2772846,10.1440125,1.0,7.0,7.0,3.0,38.32027200001903,224,224.0,1.0,,,
120,77106.0,77158.0,594.1672363,594.2040405,594.1693115,0.0020752,0.034729,0.0140093,10.8701086,0.9718627,9.8982458,1.0,7.0,7.0,2.0,52.998048000008566,225,225.0,1.0,,,
121,77491.0,77543.0,594.4308472,594.4669189,594.4356079,0.0047607,0.031311,0.0606749,18.0272083,1.8324846,16.194725,1.0,7.0,7.0,2.0,51.94324799997048,226,226.0,1.0,,,
122,77753.0,77779.0,594.6119995,594.6297607,594.6147461,0.0027466,0.0150146,0.0176902,2.6230299,0.4703243,2.1527057,1.0,7.0,7.0,1.0,25.576127999993332,227,227.0,1.0,,,
123,78784.0,78811.0,595.3217773,595.3401489,595.3244629,0.0026855,0.015686,0.011473,3.6790416,0.9440866,2.7349551,1.0,7.0,7.0,2.0,26.455104000033316,230,230.0,1.0,,,
124,78948.0,78982.0,595.4348145,595.4593506,595.4389038,0.0040894,0.0204468,0.0099555,5.3021255,1.1999328,4.1021929,1.0,7.0,7.0,2.0,35.33198399996763,231,231.0,1.0,,,
125,79964.0,79984.0,596.1384277,596.15271,596.1404419,0.0020142,0.0122681,0.013276,2.1094923,0.3340036,1.7754889,1.0,7.0,7.0,1.0,20.566511999986687,233,233.0,1.0,,,
126,82133.0,82161.0,597.645752,597.6647949,597.6470947,0.0013428,0.0177002,0.0079702,3.1472075,0.3303367,2.8168707,1.0,7.0,7.0,1.0,27.421775999901,237,237.0,1.0,,,
127,82582.0,82603.0,597.9536133,597.9685669,597.9549561,0.0013428,0.0136108,0.0114475,3.6323981,0.6946512,2.937747,1.0,7.0,7.0,1.0,21.533184000018082,239,239.0,1.0,,,
128,83993.0,84030.0,907.482605,907.5078125,907.4840088,0.0014038,0.0238037,0.0096406,3.9550068,0.3168659,3.6381412,1.0,6.0,6.0,2.0,36.29879999994955,242,242.0,1.0,,,
